FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
1_100_1005_6_1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),kg CO2e,0.184318926,2023,20/06/2023,1.1
1_100_1005_6_2,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),kg CO2e of CO2 per unit,0.18395,2023,20/06/2023,1.1
1_100_1005_6_3,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),kg CO2e of CH4 per unit,0.00028,2023,20/06/2023,1.1
1_100_1005_6_4,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),kg CO2e of N2O per unit,8.89E-05,2023,20/06/2023,1.1
1_100_1006_15_1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,tonnes,kg CO2e,2578.246474,2023,20/06/2023,1.1
1_100_1006_15_2,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,tonnes,kg CO2e of CO2 per unit,2575.7,2023,20/06/2023,1.1
1_100_1006_15_3,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,tonnes,kg CO2e of CH4 per unit,1.3104,2023,20/06/2023,1.1
1_100_1006_15_4,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,tonnes,kg CO2e of N2O per unit,1.236073826,2023,20/06/2023,1.1
1_100_1006_8_1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,litres,kg CO2e,0.944415123,2023,20/06/2023,1.1
1_100_1006_8_2,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,litres,kg CO2e of CO2 per unit,0.94348,2023,20/06/2023,1.1
1_100_1006_8_3,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,litres,kg CO2e of CH4 per unit,0.0004816,2023,20/06/2023,1.1
1_100_1006_8_4,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,litres,kg CO2e of N2O per unit,0.000453523,2023,20/06/2023,1.1
1_100_1006_7_1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Net CV),kg CO2e,0.199168619,2023,20/06/2023,1.1
1_100_1006_7_2,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Net CV),kg CO2e of CO2 per unit,0.19897,2023,20/06/2023,1.1
1_100_1006_7_3,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Net CV),kg CO2e of CH4 per unit,0.0001008,2023,20/06/2023,1.1
1_100_1006_7_4,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Net CV),kg CO2e of N2O per unit,9.78E-05,2023,20/06/2023,1.1
1_100_1006_6_1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Gross CV),kg CO2e,0.183228526,2023,20/06/2023,1.1
1_100_1006_6_2,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.18305,2023,20/06/2023,1.1
1_100_1006_6_3,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.0000896,2023,20/06/2023,1.1
1_100_1006_6_4,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Gross CV),kg CO2e of N2O per unit,8.89E-05,2023,20/06/2023,1.1
1_100_1007_15_1,Scope 1,Fuels,Gaseous fuels,Propane,,,tonnes,kg CO2e,2997.632334,2023,20/06/2023,1.1
1_100_1007_15_2,Scope 1,Fuels,Gaseous fuels,Propane,,,tonnes,kg CO2e of CO2 per unit,2993.4,2023,20/06/2023,1.1
1_100_1007_15_3,Scope 1,Fuels,Gaseous fuels,Propane,,,tonnes,kg CO2e of CH4 per unit,2.5872,2023,20/06/2023,1.1
1_100_1007_15_4,Scope 1,Fuels,Gaseous fuels,Propane,,,tonnes,kg CO2e of N2O per unit,1.645134228,2023,20/06/2023,1.1
1_100_1007_8_1,Scope 1,Fuels,Gaseous fuels,Propane,,,litres,kg CO2e,1.543577599,2023,20/06/2023,1.1
1_100_1007_8_2,Scope 1,Fuels,Gaseous fuels,Propane,,,litres,kg CO2e of CO2 per unit,1.5414,2023,20/06/2023,1.1
1_100_1007_8_3,Scope 1,Fuels,Gaseous fuels,Propane,,,litres,kg CO2e of CH4 per unit,0.0013328,2023,20/06/2023,1.1
1_100_1007_8_4,Scope 1,Fuels,Gaseous fuels,Propane,,,litres,kg CO2e of N2O per unit,0.000844799,2023,20/06/2023,1.1
