FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
25_300_3035_9_1,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Diesel,miles,kg CO2e,0.325005663,2023,20/06/2023,1.1
25_300_3035_9_2,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Diesel,miles,kg CO2e of CO2 per unit,0.3223,2023,20/06/2023,1.1
25_300_3035_9_3,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Diesel,miles,kg CO2e of CH4 per unit,0.0000112,2023,20/06/2023,1.1
25_300_3035_9_4,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Diesel,miles,kg CO2e of N2O per unit,0.002694463,2023,20/06/2023,1.1
25_300_3036_9_1,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Petrol,miles,kg CO2e,0.328386972,2023,20/06/2023,1.1
25_300_3036_9_2,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Petrol,miles,kg CO2e of CO2 per unit,0.3273,2023,20/06/2023,1.1
25_300_3036_9_3,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Petrol,miles,kg CO2e of CH4 per unit,0.0005712,2023,20/06/2023,1.1
25_300_3036_9_4,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Petrol,miles,kg CO2e of N2O per unit,0.000515772,2023,20/06/2023,1.1
25_300_3037_9_1,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Unknown,miles,kg CO2e,0.326213243,2023,20/06/2023,1.1
25_300_3037_9_2,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Unknown,miles,kg CO2e of CO2 per unit,0.32394,2023,20/06/2023,1.1
25_300_3037_9_3,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Unknown,miles,kg CO2e of CH4 per unit,0.0001568,2023,20/06/2023,1.1
25_300_3037_9_4,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Unknown,miles,kg CO2e of N2O per unit,0.002116443,2023,20/06/2023,1.1
25_300_3038_9_1,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.166212083,2023,20/06/2023,1.1
25_300_3038_9_2,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.16494,2023,20/06/2023,1.1
25_300_3038_9_3,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.0006496,2023,20/06/2023,1.1
25_300_3038_9_4,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.000622483,2023,20/06/2023,1.1
25_300_3039_9_1,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,miles,kg CO2e,0.098240576,2023,20/06/2023,1.1
25_300_3039_9_2,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.09715,2023,20/06/2023,1.1
25_300_3039_9_3,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.0004592,2023,20/06/2023,1.1
25_300_3039_9_4,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.000631376,2023,20/06/2023,1.1
